Country,Coastline Length,Coast/area (m/km2),iso_a3,numeric_code
Canada,202080.0,22.2,CAN,124
Norway,83281.0,274,NOR,578
Indonesia,54716.0,30.2,IDN,360
Greenland,44087.0,20.4,GRL,304
Russia,37653.0,2.30,RUS,643
Philippines,36289.0,122,PHL,608
Japan,29751.0,81.6,JPN,392
Australia,25760.0,3.35,AUS,36
United States,19924.0,2.18,USA,840
Antarctica,17968.0,1.27,ATA,10
New Zealand,15134.0,57.2,NZL,554
China,14500.0,1.55,CHN,156
Greece,13676.0,105,GRC,300
United Kingdom,12429.0,51.4,GBR,826
Mexico,9330.0,4.80,MEX,484
Italy,7600.0,25.8,ITA,380
Brazil,7491.0,0.896,BRA,76
Denmark,7314.0,172,DNK,208
Turkey,7200.0,9.36,-1,792
India,7000.0,2.35,IND,356
Chile,6435.0,8.65,CHL,152
"Micronesia, Federated States of",6112.0,"8,710",FSM,583
Croatia,5835.0,112,HRV,191
Solomon Islands,5313.0,190,SLB,90
Papua New Guinea,5152.0,11.4,PNG,598
Argentina,4989.0,1.82,ARG,32
Iceland,4970.0,49.6,ISL,352
Spain,4964.0,9.95,ESP,724
France,4853.0,7.58,FRA,250
Madagascar,4828.0,8.30,MDG,450
Malaysia,4675.0,14.2,MYS,458
Estonia,3794.0,89.5,EST,233
Cuba,3735.0,34.0,CUB,192
Svalbard,3587.0,57.8,SJM,744
"Bahamas, The",3542.0,354,-1,44
Vietnam,3444.0,11.1,VNM,704
Somalia,3333.0,4.82,SOM,706
Thailand,3219.0,6.30,THA,764
Sweden,3218.0,7.84,SWE,752
Colombia,3208.0,3.09,COL,170
Coral Sea Islands,3095.0,">1,000,000",-1,
French Southern and Antarctic Lands,2948.4,385,-1,
Morocco,2945.0,2.56,MAR,504
Venezuela,2800.0,3.17,VEN,862
South Africa,2798.0,2.30,ZAF,710
Ukraine,2782.0,4.80,UKR,804
Saudi Arabia,2640.0,1.23,SAU,682
Vanuatu,2528.0,207,VUT,548
French Polynesia,2525.0,660,PYF,258
